behaviour,trades,share_of_sample,disclosed_under_a_plan
routine,1678,0.03150996188008187,0.1698450536352801
opportunistic,13943,0.26182562484742644,0.14781610844151186
unknown,37632,0.7066644132724917,0.04541347789115646
