candidate,reference,average_precision,difference,difference_ci_low,difference_ci_high,draws_not_beating_reference,draws
hist_gbdt,random_forest,0.37298147460838327,-0.024186729240038674,-0.0384895793142536,-0.00879344849248074,0.9995,2000
logistic,random_forest,0.3558550632974982,-0.04131314055092372,-0.058330216839998235,-0.02391173870968363,1.0,2000
stratified_dummy,random_forest,0.12859082285929058,-0.26857738098913136,-0.29788737969525825,-0.23989470900094706,1.0,2000
