forecaster,filings,pinball_mean,mae_median,coverage_50,coverage_80,width_80
random_walk,11455,0.035807346887435816,0.09943399781844375,0.5028371890004365,0.7910082933216935,0.33145610084622545
climatology,11455,0.030342434622126012,0.08507952822227194,0.4901789611523352,0.8033173286774334,0.27044621133444946
har,11455,0.028443734283200812,0.07925234157275445,0.4818856394587516,0.7742470536883457,0.23518125613857774
chronos,11455,0.029814821273662712,0.08313055119788257,0.4495853339153208,0.7546922741161065,0.23693628284591883
