fold,n_scored,base_rate,pr_auc,roc_auc,brier,ece
0,1779,0.21416526138279932,0.36972082676348517,0.7116090102471097,0.15389989767312715,0.028897675107157312
1,1779,0.2057335581787521,0.3919833342623188,0.7109142660463533,0.14830512674355975,0.033225425121909326
2,1779,0.24957841483979765,0.3865775857034537,0.6715980024968788,0.17507371594540194,0.03816264143338462
3,1779,0.17200674536256325,0.3349648463641541,0.7132746739791187,0.1315778996663934,0.037608655452929414
4,1779,0.23327712197863967,0.3763151305967297,0.6614228173691836,0.16774414573110585,0.012831031104943122
