candidate,events_scored,average_precision,roc_auc,average_precision_ci_low,average_precision_ci_high,roc_auc_ci_low,roc_auc_ci_high,bootstrap_sessions,bootstrap_draws
hist_gbdt,9721,0.37298147460838327,0.7458440842682594,0.3431477161794525,0.4038204699989581,0.7260028970547151,0.764449218719071,957,2000
logistic,9721,0.3558550632974982,0.7360376106321265,0.32679316621006477,0.38622531004609517,0.7165820703532187,0.7546377872435888,957,2000
random_forest,9721,0.39716820384842194,0.7637889441294652,0.36520380219623944,0.4296006724830179,0.7452322794564531,0.7811688778135817,957,2000
stratified_dummy,9721,0.12859082285929058,0.5059933005703956,0.12006689979362782,0.13763034083929854,0.4964144529376986,0.5158502990594758,957,2000
