stage,note,n_events,base_rate,average_precision,roc_auc,daily_precision_at_5,daily_lift_at_5,impossible_entries,impossible_share,median_hindsight_hours,pre_acceptance_label_anchors,pre_acceptance_label_share,checks_failed,switches
Naive pipeline,"Shuffled K-fold, today's index, trailing windows that include the event day, entry on the filing date.",11672,0.1967957505140507,0.5966061387136908,0.8405733159193151,0.3118681318681319,1.7294805628052379,11224,0.9580061454421305,10.628055555555555,11716,1.0,1,"trailing features shifted=NO, point-in-time entry=NO, point-in-time universe=NO, purged CV=NO, resolved-only issuer history=yes, open-anchored returns=NO, estimator=random_forest"
"+ purged, embargoed CV",Stop training on the future and on labels whose outcome windows reach into the test fold.,9727,0.1997532641102087,0.590322491341348,0.8378875680427644,0.312401055408971,1.7104887883612538,11224,0.9580061454421305,10.628055555555555,11716,1.0,1,"trailing features shifted=NO, point-in-time entry=NO, point-in-time universe=NO, purged CV=yes, resolved-only issuer history=yes, open-anchored returns=NO, estimator=random_forest"
+ shifted trailing features,"Trailing volatility and turnover must end the session before entry, not include it.",9727,0.1997532641102087,0.4389134298668654,0.7821530658716905,0.2736147757255937,1.4981223594008617,11224,0.9580061454421305,10.628055555555555,11716,1.0,1,"trailing features shifted=yes, point-in-time entry=NO, point-in-time universe=NO, purged CV=yes, resolved-only issuer history=yes, open-anchored returns=NO, estimator=random_forest"
+ point-in-time universe,"Screen on index membership as of the event date, restoring the issuers that were later dropped.",9727,0.1997532641102087,0.4389134298668654,0.7821530658716905,0.2736147757255937,1.4981223594008617,11224,0.9580061454421305,10.628055555555555,11716,1.0,1,"trailing features shifted=yes, point-in-time entry=NO, point-in-time universe=yes, purged CV=yes, resolved-only issuer history=yes, open-anchored returns=NO, estimator=random_forest"
+ point-in-time entry,Enter at the first open after the acceptance time. This also changes the measured window; the invariant is that every impossible entry disappears.,9721,0.12714741281761135,0.39716820384842194,0.7637889441294652,0.197911227154047,1.6993981747486622,0,0.0,0.0,7400,0.6316148856264937,0,"trailing features shifted=yes, point-in-time entry=yes, point-in-time universe=yes, purged CV=yes, resolved-only issuer history=yes, open-anchored returns=NO, estimator=random_forest"
