baseline,model_precision,baseline_precision,difference,difference_ci_low,difference_ci_high,lift,lift_ci_low,lift_ci_high,draws_not_beating_baseline,sessions
random,0.197911227154047,0.11645959734146337,0.08145162981258362,0.07205668973514735,0.09193530510976433,1.6993981747486622,1.6203233754120319,1.785465335816787,0.0,766
arrival,0.197911227154047,0.09347258485639685,0.10443864229765014,0.08981723237597913,0.1195822454308094,2.11731843575419,1.9145276292335116,2.3630836012861742,0.0,766
item_202,0.197911227154047,0.13446475195822455,0.06344647519582244,0.05091383812010447,0.07624673629242816,1.4718446601941746,1.3657655904932169,1.590268014152396,0.0,766
