band,filings,base_rate,pr_auc,roc_auc,pr_auc_lift
0-4 (abstain),0,,,,
5-9 (low),73,0.3013698630136986,0.41496968159217784,0.642602495543672,1.376944852555863
10-19 (medium),1146,0.2356020942408377,0.4382627845366695,0.7406815491290377,1.8601820410334196
20+ (standard),7676,0.21104742053152684,0.3593028539481873,0.6846628993590685,1.7024745104359789
