item,filings,base_rate,pr_auc,pr_auc_lift,roc_auc
9.01,6946,0.23337172473365966,0.38616633087022617,1.6547263011872861,0.6872853654933923
2.02,2929,0.3386821440764766,0.4347138055060831,1.2835450971041504,0.6074059694905658
8.01,2129,0.16956317519962424,0.34572834101366673,2.038935285368688,0.6878329426805883
7.01,2030,0.2231527093596059,0.35102669102741363,1.573033516083112,0.6606614677602007
5.02,1765,0.15864022662889518,0.2890308942616842,1.8219268870424024,0.6865800865800865
5.07,755,0.14172185430463577,0.2551297743975376,1.8002147632723446,0.6704020999192338
1.01,711,0.16033755274261605,0.2410872916181634,1.503623371408019,0.6583943107349612
2.03,493,0.1460446247464503,0.16783043901485778,1.1491723115878456,0.5865333861177092
5.03,328,0.17073170731707318,0.3500991294580408,2.050580615397096,0.7193408613445377
1.02,106,0.12264150943396226,0.1686366356268719,1.3750371828037247,0.6335814722911497
