state,count,share,precision,recall
read_now,805,0.09050028105677346,0.422360248447205,0.17782426778242677
monitor,463,0.052051714446318155,0.42332613390928725,0.10251046025104603
routine,7627,0.8574480044969084,0.18041169529303788,0.7196652719665272
insufficient_history,0,0.0,,
withheld,0,0.0,,
