method,brier,brier_skill,ece,pr_auc,roc_auc,n_scored
identity,0.1553201571519176,0.0795720541712478,0.011466594732626725,0.370106899238709,0.69309281896201,8895
isotonic,0.15745358823326694,0.06692933204308948,0.027361967283751287,0.35655053132396264,0.675147676335296,8895
sigmoid,0.1575985216060952,0.06607045622760943,0.01939905796023351,0.35902730632490587,0.6753168334095295,8895
