group,features,pr_auc,roc_auc,brier,ece,n_scored,pr_auc_vs_base,diff_ci_low,diff_ci_high,separates_from_zero
base,40,0.37327402873040094,0.6972847836676879,0.15474605029751184,0.01417824038280099,8895,0.0,0.0,0.0,False
base_plus_percentiles,45,0.37165670478212576,0.6959825325941004,0.15494218990911393,0.01306705778134586,8895,-0.0016173239482751844,-0.006812823788480507,0.0038376227736664926,False
base_plus_z_scores,44,0.37584068927130637,0.6988511249975284,0.15451027309551546,0.01092137892514098,8895,0.00256666054090543,-0.0026803268890655944,0.008022629461510954,False
base_plus_self_relative,51,0.37195895820068187,0.6960733089385638,0.154947204577749,0.010077574061346774,8895,-0.0013150705297190757,-0.007881382949799063,0.005093028516856053,False
