forecaster,against,difference,low,high,n_scored,beats_reference
random_walk,har,0.007363612604235003,0.006436014699364356,0.008412438544790892,11455,False
climatology,har,0.0018987003389251975,0.0015082824761473454,0.0022526695488012485,11455,False
chronos,har,0.0013710869904618992,0.0009812170090106283,0.0018075892484377425,11455,False
