capacity_k,sessions,session_share,model,random_floor,oracle_ceiling,arrival,item_202,lift_vs_random,span_captured
1,942,0.9843260188087775,0.31634819532908703,0.11665752112196844,0.5828025477707006,0.08492569002123142,0.15498938428874734,2.711768536538136,0.42838743908255256
2,920,0.9613375130616509,0.26467391304347826,0.11727324445314595,0.4592391304347826,0.08641304347826087,0.16195652173913044,2.2568993829553605,0.4310391025327235
3,887,0.9268547544409613,0.2348741074783916,0.11787829939522089,0.37805336339721907,0.09620443442314919,0.15257422021796316,1.9925135388228552,0.449681096579925
5,766,0.800417972831766,0.197911227154047,0.11645959734146337,0.28302872062663187,0.09347258485639685,0.13446475195822455,1.6993981747486622,0.48899596879751467
10,365,0.38140020898641586,0.1865753424657534,0.13551564464032786,0.22684931506849318,0.11808219178082192,0.1410958904109589,1.376780835607159,0.5590457230730087
20,60,0.06269592476489028,0.185,0.16004310762719054,0.19666666666666668,0.15000000000000002,0.16916666666666666,1.1559385639458142,0.6814436670643803
