bin_low,bin_high,count,mean_predicted,observed_rate
0.0,0.1,1012,0.07741688877565957,0.04940711462450593
0.1,0.2,3504,0.14919592034321272,0.14554794520547945
0.2,0.30000000000000004,2199,0.24750595469081116,0.24693042291950887
0.30000000000000004,0.4,1521,0.3427194862767031,0.3214990138067061
0.4,0.5,592,0.4420388249521548,0.4847972972972973
0.5,0.6000000000000001,67,0.5225673910872577,0.4925373134328358
0.6000000000000001,0.7000000000000001,0,,
0.7000000000000001,0.8,0,,
0.8,0.9,0,,
0.9,1.0,0,,
