material_filings,sessions,share,ceiling_at_k
0,284,0.370757180156658,0.0
1,194,0.25326370757180156,0.2
2,121,0.15796344647519583,0.4
3,72,0.09399477806788512,0.6
4,43,0.05613577023498695,0.8
5,18,0.02349869451697128,1.0
6,18,0.02349869451697128,1.0
7,7,0.009138381201044387,1.0
8,4,0.005221932114882507,1.0
9,2,0.0026109660574412533,1.0
10,2,0.0026109660574412533,1.0
11,1,0.0013054830287206266,1.0
