fold,events,base rate,avg precision,ROC AUC,lift@50
0,1944,0.1147119341563786,0.33216978896915245,0.7353947412991195,4.707443946188341
1,1944,0.12037037037037036,0.4050666259060094,0.75944669365722,5.64923076923077
2,1944,0.14146090534979425,0.38203579604665727,0.7375652268642083,4.241454545454545
3,1944,0.11625514403292181,0.3592662378294273,0.7537448360410851,4.64495575221239
4,1945,0.1429305912596401,0.37740713412387844,0.7010310168182191,4.617625899280576
