population,filings,median_share_in_open,median_reaction_retained
all filings,11674,0.06365375924301753,0.9363462407569825
not material,10173,0.03000780947470294,0.969992190525297
material (>= threshold),1501,0.2768269705564457,0.7231730294435543
"material, accepted pre",32,0.2625237573220859,0.7374762426779141
"material, accepted open",382,0.10346134192232309,0.8965386580776769
"material, accepted post",1086,0.45723452214413,0.5427654778558699
"material, accepted closed",1,0.0386676133916003,0.9613323866083996
