reaction measured from,n_events,base_rate,average_precision,roc_auc,daily_precision_at_5,daily_lift_at_5,pre_acceptance_label_anchors,pre_acceptance_label_share,median_label_anchor_staleness_hours
prior close (label basis),9721,0.12714741281761135,0.39716820384842194,0.7637889441294652,0.197911227154047,1.6993981747486622,7400,0.6316148856264937,4.649027777777778
entry open,9721,0.081061619174982,0.15459454250250648,0.6738013275364657,0.10887728459530027,1.45180160985864,0,0.0,0.0
