group,features,pr_auc,roc_auc,brier,n_scored,pr_auc_vs_structured,diff_ci_low,diff_ci_high,separates_from_zero
structured,51,0.37195895820068187,0.6960733089385638,0.154947204577749,8895,0.0,0.0,0.0,False
deterministic_text,55,0.370106899238709,0.69309281896201,0.1553201571519176,8895,-0.00185205896197288,-0.006109222771126049,0.0023999298827169385,False
transformer_text,57,0.3664431392150513,0.69263908703564,0.15546405113887993,8895,-0.005515818985630583,-0.010173864301064098,-0.0010454544821045719,True
all,61,0.36495395099528927,0.6897501972812635,0.155896896978032,8895,-0.007005007205392599,-0.01265655551319481,-0.0020497090235797174,True
